X,Y,id,nom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-77.0392318650213,38.9000671746309,"6",exec,"2","0","0","2",0.00075435792127,45.53818997893652
-77.0390085110978,38.9000647934871,"6",exec,"3","0","0","3",0.00097772453691,134.86401898315498
-77.0390013719313,38.8996014610653,"6",exec,"4","0","0","4",0.00144111195662,134.05196445751287
-77.0388667476487,38.8996038422247,"6",exec,"5","0","0","5",0.00157575729592,44.99986296992293
-77.0388636880059,38.8997768729245,"6",exec,"6","0","0","6",0.00174881504495,45.34318581471774
-77.0385852605122,38.8997784603602,"6",exec,"7","0","0","7",0.00202724706391,134.78339614862256
-77.0385842406313,38.8992299992272,"6",exec,"8","0","0","8",0.00257570914514,224.78747813939475
-77.0388698072914,38.8992284117793,"6",exec,"9","0","0","9",0.00286128021755,315.01116727372181
-77.0388687874105,38.8993998559498,"6",exec,"10","0","0","10",0.00303272742162,314.68578523032608
-77.0390095309787,38.8993974747836,"6",exec,"11","0","0","11",0.00317349113128,225.25141854828877
-77.0390115707406,38.8993181025312,"6",exec,"12","0","0","12",0.00325288958895,225.13084030346775
-77.0392369644259,38.8993133401933,"6",exec,"13","0","0","13",0.00347833358034,288.34072026562148
